# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 2022
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = no
		
                #Misc Abilities
                reliability = 0.9
                maximum_speed = 4

                #Defensive Abilities
                defense = 10
                breakthrough = 2
                hardness = 0
                armor_value = 0

                #Offensive Abilities
                soft_attack = 3
                hard_attack = 0.5
                ap_attack = 10
                air_attack = 0

                #Space taken in convoy
                lend_lease_cost = 1
                
                build_cost_ic = 0.43
                resources = {
                        steel = 2
                }
		
	}

	infantry_equipment_0 = {
		year = 2022
	
		archetype = infantry_equipment
		active = no
		priority = 05
		visual_level = 0
	}



	# Regular infantry  1936
	infantry_equipment_1 = {
		year = 2022
	
		archetype = infantry_equipment
		parent = infantry_equipment_0
		priority = 10
		visual_level = 1

                #Defensive Abilities
                defense = 16
                breakthrough = 4

                #Offensive Abilities
                soft_attack = 9
                hard_attack = 1.5
                ap_attack = 10
                air_attack = 0
                
                build_cost_ic = 0.58
                resources = {
                        steel = 3
                }
	}

	# Improved weapons  ~1939
	infantry_equipment_2 = {
		year = 2022
	
		archetype = infantry_equipment
		parent = infantry_equipment_1
		priority = 10
		visual_level = 2
		
                #Defensive Abilities
                defense = 20
                breakthrough = 5

                #Offensive Abilities
                soft_attack = 12
                hard_attack = 2
                ap_attack = 10
                air_attack = 0
                
                reliability = 0.8
                build_cost_ic = 0.69
                resources = {
                        steel = 4
                }
		
	}
	
	# Advanced weapons  ~1942
	infantry_equipment_3 = {
		year = 2022
	
		archetype = infantry_equipment
		parent = infantry_equipment_2
		priority = 10
		visual_level = 3
		
                #Defensive Abilities
                defense = 24
                breakthrough = 5

                #Offensive Abilities
                soft_attack = 16
                hard_attack = 3
                ap_attack = 10
                air_attack = 0
                
                reliability = 0.8
                build_cost_ic = 0.79
                resources = {
                        steel = 4
                }
	}
	infantry_equipment_4 = {
		year = 2022
	
		archetype = infantry_equipment
		parent = infantry_equipment_3
		priority = 10
		visual_level = 3
		
                #Defensive Abilities
                defense = 26
                breakthrough = 6

                #Offensive Abilities
                soft_attack = 19
                hard_attack = 3
                ap_attack = 10
                air_attack = 0
                
                reliability = 0.8
                build_cost_ic = 0.89
                resources = {
                        steel = 4
                }
	}
	infantry_anti_tank_equipment = {
		year = 2022
	
		is_archetype = yes
		picture = archetype_infantry_equipment	
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = no
		
                #Misc Abilities
                reliability = 0.8

                #Defensive Abilities
                defense = 9
                breakthrough = 0
                armor_value = 0

                #Offensive Abilities
                soft_attack = 9
                hard_attack = 10
                ap_attack = 65
                air_attack = 0

                #Space taken in convoy
                lend_lease_cost = 3
                                
                build_cost_ic = 2
                resources = {
                        tungsten = 2
                        steel = 2
                }
		
	}
	infantry_anti_tank_equipment_0 = {
		year = 2022
	
		archetype = infantry_anti_tank_equipment
		active = no
		priority = 05
		visual_level = 0
	}



	infantry_anti_tank_equipment_1 = {
		year = 2022
	
		archetype = infantry_anti_tank_equipment
		parent = infantry_anti_tank_equipment_0
		priority = 10
		visual_level = 1

		hard_attack = 12
		ap_attack = 70
		soft_attack = 9

		build_cost_ic = 4
		resources = {
				tungsten = 2

				steel = 1
		}
	}

	infantry_anti_tank_equipment_2 = {
		year = 2022
	
		archetype = infantry_anti_tank_equipment
		parent = infantry_anti_tank_equipment_1
		priority = 10
		visual_level = 2
		
		hard_attack = 17
		ap_attack = 80
		soft_attack = 9

		build_cost_ic = 4
		resources = {
				tungsten = 2
			  
				steel = 1
		}
		
	}
	
	infantry_anti_tank_equipment_3 = {
		year = 2022
	
		archetype = infantry_anti_tank_equipment
		parent = infantry_anti_tank_equipment_2
		priority = 10
		visual_level = 3
		
		hard_attack = 20
		ap_attack = 95
		soft_attack = 9

		build_cost_ic = 4
		resources = {
				tungsten = 2
				
				steel = 1
		}
	}
	###########################
	infantry_anti_air_equipment = {
		year = 2022
	
		is_archetype = yes
		picture = archetype_infantry_equipment	
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = no
		
                #Misc Abilities
                reliability = 0.8

                #Defensive Abilities
                defense = 0
                breakthrough = 0
                hardness = 0
                armor_value = 0

                #Offensive Abilities
                soft_attack = 3
                hard_attack = 0
                ap_attack = 0
                air_attack = 7

                #Space taken in convoy
                lend_lease_cost = 3
                
                build_cost_ic = 4
                resources = {
                        steel = 2
                        tungsten = 1
                }
		
	}
	infantry_anti_air_equipment_0 = {
		year = 2022
	
		archetype = infantry_anti_air_equipment
		active = no
		priority = 05
		visual_level = 0
	}



	infantry_anti_air_equipment_1 = {
		year = 2022
	
		archetype = infantry_anti_air_equipment
		parent = infantry_anti_air_equipment_0
		priority = 10
		visual_level = 1

		soft_attack = 3
		hard_attack = 0
		   ap_attack = 0
		air_attack = 10

		build_cost_ic = 5
		resources = {
				steel = 3
					tungsten = 1
		}
	}

