Название;ID;Результат;Sprite;Источник наследования;Файл;Найденные модели
ХM41 Redeye;usa_xm41_redeye_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-43 Redeye (Block 1);usa_fim43_redeye_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-92 Stinger;usa_fim92_stinger_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-92 Stinger-POST;usa_fim92_stinger_post_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-92 Stinger RMP I (E);usa_fim92_stinger_rmp_e_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-92 Stinger RMP Block II (F);usa_fim92_stinger_rmp_f_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
FIM-92J Stinger;usa_fim92j_stinger_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Blowpipe;eng_blowpipe_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Javelin;eng_javelin_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Starburst;eng_starburst_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Starstreak;eng_starstreak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Martlet;eng_martlet_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
Mistral;fra_mistral_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
RBS 70;swe_rbs70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
RBS 70M;swe_rbs70m_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
RBS 90;swe_rbs90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
ПЗРК Grom;pol_grom_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
ПЗРК Piorun;pol_piorun_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_nto.txt;[]
"9К338 \""Игла-С\""";aa_9k338_igla_s_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_rus.txt;[]
"9К333 \""Верба\""";aa_9k333_verba_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_rus.txt;[]
"ПЗРК \""Метка\""";aa_metka_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_rus.txt;[]
"ПЗРК 9К32 \""Стрела-2\""";aa_9k32_strela_2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_sov.txt;[]
"ПЗРК 9К34 \""Стрела-3\""";aa_9k34_strela_3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_sov.txt;[]
"ПЗРК 9К38 \""Игла\""";aa_9k38_igla_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_sov.txt;[]
Игла-1;infantry_aa_igla1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_ukr.txt;[]
Игла-1М;infantry_aa_igla1m_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_ukr.txt;[]
РК-10;infantry_aa_rk10_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_aa_equipments_ukr.txt;[]
Шасси БМД-1;afv_sov_bmd1_equipment;Модель из мода;sp_atgm;afv_sov_bmd1_equipment;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;"[[""sp_atgm_entity"", ""mod"", ""gfx/models/units/tanks/2s1.mesh""]]"
ЛТ на базе БМД-1;light_tank_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
ЗРК на базе БМД-1;sp_aa_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
Мобильная установка с ПТУР на базе БМД-1;sp_atgm_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
ИМР на базе БМД-1;arv_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
БТР на базе БМД-1;apc_afv_sov_bmd1_equipment;Ссылка на отсутствующую entity;RUS_BMD_1;afv_sov_chassis;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
САУ на базе БМД-1;sp_artillery_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
РСЗО на базе БМД-1;sp_mlrs_afv_sov_bmd1_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd1.txt;[]
Шасси БМД-2;afv_sov_bmd2_equipment;Модель из мода;sp_atgm;afv_sov_bmd1_equipment;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;"[[""sp_atgm_entity"", ""mod"", ""gfx/models/units/tanks/2s1.mesh""]]"
ЛТ на базе БМД-2;light_tank_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
ЗРК на базе БМД-2;sp_aa_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
Мобильная установка с ПТУР на базе БМД-2;sp_atgm_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
ИМР на базе БМД-2;arv_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
БТР на базе БМД-2;apc_afv_sov_bmd2_equipment;Ссылка на отсутствующую entity;RUS_BMD_1;afv_sov_chassis;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
САУ на базе БМД-2;sp_artillery_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
РСЗО на базе БМД-2;sp_mlrs_afv_sov_bmd2_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd2.txt;[]
Шасси БМД-3;afv_sov_bmd3_equipment;Модель из мода;sp_atgm;afv_sov_bmd1_equipment;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;"[[""sp_atgm_entity"", ""mod"", ""gfx/models/units/tanks/2s1.mesh""]]"
ЛТ на базе БМД-3;light_tank_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
ЗРК на базе БМД-3;sp_aa_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
Мобильная установка с ПТУР на базе БМД-3;sp_atgm_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
ИМР на базе БМД-3;arv_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
БТР на базе БМД-3;apc_afv_sov_bmd3_equipment;Ссылка на отсутствующую entity;RUS_BMD_1;afv_sov_chassis;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
САУ на базе БМД-3;sp_artillery_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
РСЗО на базе БМД-3;sp_mlrs_afv_sov_bmd3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd3.txt;[]
Шасси БМД-4;afv_rus_bmd4_equipment;Модель из мода;sp_atgm;afv_sov_bmd1_equipment;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;"[[""sp_atgm_entity"", ""mod"", ""gfx/models/units/tanks/2s1.mesh""]]"
ЛТ на базе БМД-4;light_tank_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
ЗРК на базе БМД-4;sp_aa_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
Мобильная установка с ПТУР на базе БМД-4;sp_atgm_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
ИМР на базе БМД-4;arv_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
БТР на базе БМД-4;apc_afv_rus_bmd4_equipment;Ссылка на отсутствующую entity;RUS_BMD_1;afv_sov_chassis;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
САУ на базе БМД-4;sp_artillery_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
РСЗО на базе БМД-4;sp_mlrs_afv_rus_bmd4_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_afv_chassis_sov_bmd4.txt;[]
Шасси FV423;apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
ЛТ на базе FV423;light_tank_apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
ЗРК на базе FV423;sp_aa_apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
Мобильный ПТРК на базе FV423;sp_atgm_apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
ИМР на базе FV423;arv_apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
САУ на базе FV423;sp_artillery_apc_eng_fv432_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_eng_fv432.txt;[]
Шасси CAVS;apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
light_tank_apc_euro_CAVS_equipment;light_tank_apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
sp_aa_apc_euro_CAVS_equipment;sp_aa_apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
sp_atgm_apc_euro_CAVS_equipment;sp_atgm_apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
arv_apc_euro_CAVS_equipment;arv_apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
sp_artillery_apc_euro_CAVS_equipment;sp_artillery_apc_euro_CAVS_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_euro_CAVS.txt;[]
Шасси VAB;apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
ЛТ на базе VAB;light_tank_apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
ЗРК на базе VAB;sp_aa_apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
Мобильный ПТРК на базе VAB;sp_atgm_apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
